Location,Distributed,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Recip,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,<2-year certificate graduation rate,2-year associate degree graduation rate,4-year bachelor's graduation rate,4-year master's graduation rate,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Degrees awarded,Average Scale Score math_composite,Average Scale Score math_stat,Average Scale Score reading_composite,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total Population,Citizen,Non-Citizen,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Unemployed
North Carolina,13789810,10856150,10842001,10172627,2965249,6042471,6033651,5658396,1551683,5028019,5022709,4735538,1385504,0.646,0.299,0.473,0.446,0.732,0.605,0.654,0.527,155975,241.4081364,239.2128458,221.2800437,2384500.0,870500.0,1192200.0,2635400.0,1345800.0,1711300.0,10139700.0,9641600.0,498100.0,6355400.0,2124200.0,987900.0,294400.0,112600.0,4800.0,260600.0,231636.0
North Dakota,871860,718421,717380,680965,200506,378503,377889,358712,102942,325713,325366,310522,91361,0.591,0.421,0.167,0.436,0.606,0.455,0.601,0.451,13020,242.9283908,240.2564095,221.1770071,179000.0,74500.0,100400.0,169900.0,93200.0,114000.0,731000.0,716300.0,14600.0,614600.0,17900.0,29400.0,10400.0,38000.0,N/A,19100.0,16213.0
Ohio,14349595,11860835,11860486,11203380,3495214,6242007,6241667,5890945,1770904,5761640,5761548,5462677,1694865,0.749,0.335,0.43,0.446,0.653,0.682,0.657,0.714,167246,241.1404735,238.9428979,221.969269,2650800.0,964100.0,1355100.0,2819400.0,1588300.0,1973700.0,11351500.0,11101400.0,250100.0,8918300.0,1380000.0,452300.0,260500.0,15800.0,N/A,321400.0,291337.0
Oklahoma,4853300,3984173,3983920,3745287,1086891,2177376,2177156,2041754,571560,1805668,1805606,1704743,501569,0.671,0.301,0.331,0.378,0.678,0.554,0.334,0.5570625,56759,237.1954249,236.8569028,216.3506843,980100.0,349100.0,471600.0,927700.0,487600.0,610700.0,3826900.0,3687600.0,139400.0,2488200.0,262800.0,424600.0,78900.0,295000.0,4600.0,272800.0,69543.0
Oregon,6443075,5091757,5077743,4756599,1309906,2758308,2750248,2576555,690997,2498931,2493200,2346254,654139,0.731,0.249,0.709,0.461,0.699,0.481,0.766,0.633,53998,236.3490312,235.6129582,217.7177112,883800.0,347500.0,529800.0,1078300.0,532400.0,757100.0,4128900.0,3917000.0,211800.0,3097700.0,72900.0,553400.0,192000.0,38900.0,10900.0,163100.0,121757.0
Pennsylvania,18417345,15759838,15754801,14832610,4627417,9057958,9054410,8524983,2570862,7218057,7216516,6832004,2077611,0.639,0.339,0.692,0.639,0.73,0.783,0.595,0.5570625,182712,243.9368521,241.4118741,223.2133828,2707100.0,976800.0,1520200.0,3071300.0,1790900.0,2311300.0,12377600.0,11991800.0,385900.0,9401500.0,1282000.0,960500.0,438000.0,14200.0,2300.0,279200.0,434501.0
Rhode Island,1665025,1423178,1423070,1329684,359000,776024,775900,724446,184911,701123,701078,657388,175018,0.739,0.203,0.5148297872340424,0.794,0.704,0.532511111111111,0.5473249999999998,0.5570625,21457,239.3440462,237.0658712,220.1934755,210100.0,89100.0,129300.0,256900.0,150800.0,180800.0,1017100.0,957900.0,59200.0,717300.0,60300.0,169100.0,34000.0,2300.0,N/A,33900.0,31869.0
South Carolina,6569085,5021448,5013578,4756229,1593901,2751839,2746900,2598119,837255,2321241,2318385,2207919,745305,0.582,0.212,0.551,0.536,0.754,0.643,0.512,0.5570625,56992,236.7545226,234.6897375,215.9817324,1147200.0,409100.0,578700.0,1241500.0,689000.0,918700.0,4984200.0,4825200.0,159000.0,3177000.0,1307200.0,285200.0,84100.0,14300.0,N/A,108300.0,107035.0
South Dakota,1121475,924149,924101,867467,270455,508905,508854,475856,143346,443833,443821,420624,133477,0.619,0.653,0,0.498,0.573,0.466,0.561,0.5570625,12415,241.2962777,237.8407902,222.0045205,219100.0,70100.0,98100.0,199900.0,115900.0,148200.0,851300.0,833800.0,17500.0,697500.0,18800.0,31400.0,11000.0,71500.0,N/A,20500.0,13469.0
Tennessee,8221680,6543715,6542903,6227158,1936303,3484490,3483795,3303401,965766,2949689,2949530,2820161,876109,0.665,0.303,0.315,0.483,0.64,0.476,0.657,0.5570625,83901,239.6985041,236.662605,219.06111,1560800.0,574000.0,820300.0,1687000.0,890200.0,1108800.0,6640900.0,6428500.0,212500.0,4884500.0,1088500.0,378900.0,120600.0,17200.0,N/A,148700.0,164399.0
Texas,40417915,31172538,31166407,28707764,6416258,16940448,16935366,15527615,3286447,14246449,14243601,13098151,2931920,0.594,0.307,0.351,0.425,0.632,0.497,0.423,0.158,378532,243.6165426,239.5807251,216.0449984,7688200.0,2647900.0,3687100.0,7375600.0,3233100.0,3654400.0,28286200.0,25339800.0,2946400.0,11637100.0,3297200.0,11300500.0,1409700.0,76800.0,19000.0,545800.0,908527.0
Utah,3883720,3315568,3314715,3016958,644011,1843838,1843221,1676105,343162,1563665,1563400,1436452,301144,0.687,0.281,0.513,0.258,0.681,0.532511111111111,0.401,0.5570625,107410,243.7890458,242.0761073,225.1486468,971200.0,342700.0,414800.0,764200.0,300000.0,361200.0,3154100.0,2998800.0,155200.0,2452300.0,32600.0,455000.0,72800.0,31100.0,25800.0,84400.0,44206.0
Vermont,1014250,884731,884413,825904,254583,479570,479261,447745,127927,428412,428378,400873,118607,0.867,0.154,0.576,0.598,0.766,0.928,0.5473249999999998,0.5570625,10721,238.8998974,234.5926232,221.8259113,116400.0,51200.0,66400.0,147900.0,94400.0,121800.0,598100.0,588100.0,10000.0,555100.0,6700.0,10600.0,9700.0,4000.0,N/A,11900.0,9631.0
Virginia,12251145,10502675,10471554,9704326,2397779,5689869,5671565,5261178,1261419,5000236,4988297,4641166,1148408,0.665,0.329,0.555,0.613,0.731,0.375,0.764,0.293,136193,246.8894795,249.3010164,223.6418346,1917000.0,684600.0,981000.0,2165300.0,1104300.0,1332800.0,8185100.0,7691700.0,493400.0,5017100.0,1543100.0,787100.0,551900.0,13600.0,3900.0,268300.0,183799.0
Washington,10876965,9721256,9720284,9064525,2225121,5286496,5285623,4927886,1151647,4671639,4671388,4380208,1076827,0.777,0.49,0.282,0.64,0.756,0.624,0.621,0.5570625,99598,239.5108175,236.4816878,219.6928004,1707100.0,619900.0,1028200.0,1926900.0,954000.0,1187800.0,7423900.0,6832000.0,591900.0,5013200.0,282700.0,964700.0,662400.0,82400.0,47400.0,371100.0,203018.0
West Virginia,2892585,1527106,1526171,1455496,545953,851994,851368,809508,290000,716007,715714,686109,260563,0.725,0.301,0.333,0.391,0.569,0.315,0.487,0.5570625,35902,231.4961373,229.3561161,213.1845183,368000.0,140600.0,182300.0,437000.0,254000.0,357200.0,1739000.0,1727200.0,11800.0,1609000.0,55900.0,24800.0,14200.0,3900.0,N/A,31200.0,42038.0
Wisconsin,7139395,6614806,6614341,6216146,1910109,3483807,3483283,3266828,947161,3207606,3207426,3029667,914605,0.666,0.38,0.7,0.573,0.737,0.558,0.627,0.522,89616,241.6712452,238.6028574,219.7042744,1307500.0,483000.0,658400.0,1423000.0,813700.0,991400.0,5677100.0,5524000.0,153100.0,4602500.0,349200.0,401700.0,169100.0,37400.0,N/A,114100.0,121408.0
Wyoming,622745,498818,498778,474579,155279,270580,270541,256480,81556,231048,231038,221036,75227,0.792,0.432,0.5148297872340424,0.49836734693877577,0.598,0.532511111111111,0.5473249999999998,0.5570625,6656,245.8434399,241.6593432,226.6902777,141500.0,46800.0,65800.0,136100.0,75700.0,96800.0,562700.0,553300.0,9400.0,471600.0,5400.0,57100.0,3400.0,12300.0,N/A,12000.0,16118.0
